1.0,0.82,0.78,0.03,0.67,0.04,0.34,0.72,0.93,0.03,0.13,0.58,0.78,0.01,0.23,0.05,0.02,0.36,0.14,0.76,0.99,0.44,0.74,0.8,0.19,0.61,0.18,0.46,0.51,0.02,0.25,0.69,0.55,0.96,0.37,0.55
0.82,1.0,0.35,0.37,0.6,0.89,0.01,0.01,0.42,0.44,0.73,0.96,0.08,0.89,0.48,0.14,0.67,0.54,0.53,0.56,0.38,0.65,0.82,0.81,0.84,0.35,0.73,0.72,0.17,0.2,0.71,0.14,0.82,0.63,0.89,0.86
0.78,0.35,1.0,0.95,0.23,0.1,0.06,0.36,0.7,0.24,0.91,0.2,0.01,0.56,0.59,0.01,0.3,0.23,0.06,0.36,0.62,0.91,0.08,0.38,0.16,0.78,0.67,0.24,0.32,0.33,0.89,0.45,0.22,0.43,0.8,0.66
0.03,0.37,0.95,1.0,0.32,0.1,0.86,0.34,0.07,0.43,0.99,0.47,0.05,0.61,0.88,0.95,0.76,0.45,0.89,0.84,0.82,0.03,0.39,0.43,0.61,0.17,0.49,0.67,0.31,0.58,0.89,0.21,0.2,0.08,0.5,0.67
0.67,0.6,0.23,0.32,1.0,0.75,0.15,0.43,0.14,0.54,0.99,0.94,0.89,0.81,0.1,0.32,0.61,0.65,0.35,0.68,0.25,0.35,0.61,0.8,0.37,0.95,0.23,0.02,0.97,0.66,0.74,0.02,0.68,0.54,0.46,0.73
0.04,0.89,0.1,0.1,0.75,1.0,0.74,0.62,0.73,0.19,0.14,0.12,0.25,0.98,0.09,0.57,0.69,0.24,0.6,0.78,0.74,0.96,0.04,0.54,0.17,0.28,0.08,0.71,0.76,0.8,0.76,0.26,0.41,0.35,0.99,0.67
0.34,0.01,0.06,0.86,0.15,0.74,1.0,0.65,0.74,0.83,0.66,0.04,0.86,0.44,0.42,0.82,0.36,0.6,0.57,0.47,0.52,0.98,0.19,0.28,0.94,0.64,0.85,0.64,0.73,0.2,0.12,0.6,0.82,0.87,0.87,0.67
0.72,0.01,0.36,0.34,0.43,0.62,0.65,1.0,0.83,0.2,0.45,0.5,0.74,0.05,0.87,0.2,0.34,0.11,0.08,0.47,0.3,0.0,0.83,0.48,0.62,0.75,0.34,0.1,0.52,0.16,0.1,0.04,0.09,0.38,0.79,0.29
0.93,0.42,0.7,0.07,0.14,0.73,0.74,0.83,1.0,0.2,0.76,0.8,0.25,0.2,0.13,0.27,0.7,0.92,0.17,0.36,0.94,0.74,0.58,0.86,0.03,0.86,0.49,0.34,0.67,0.89,0.06,0.52,0.51,0.71,0.2,0.53
0.03,0.44,0.24,0.43,0.54,0.19,0.83,0.2,0.2,1.0,0.74,0.01,0.53,0.39,0.33,0.06,0.81,0.05,0.57,0.46,0.8,0.25,0.67,0.62,0.37,0.31,0.95,0.27,0.23,0.31,0.26,0.5,0.57,0.63,0.05,0.59
